ticker,date,period_ending,estimate,reported,surprise,surprise%
IOSP,2024-08-06,2024-06-30,1.37,1.39,0.02,1.4599
IOVA,2024-08-08,2024-06-30,-0.35,-0.34,0.01,2.8571
IP,2024-07-24,2024-06-30,0.41,0.55,0.14,34.1463
IPAR,2024-08-06,2024-06-30,1.05,1.14,0.09,8.5714
IPG,2024-07-24,2024-06-30,0.59,0.61,0.02,3.3898
IPGP,2024-07-30,2024-06-30,0.51,0.45,-0.06,-11.7647
IPI,2024-08-05,2024-06-30,0.01,-0.06,-0.07,-700.0
IPSC,2024-08-08,2024-06-30,-0.5,-0.38,0.12,24.0
IQV,2024-07-22,2024-06-30,2.57,2.64,0.07,2.7237
IR,2024-07-31,2024-06-30,0.78,0.83,0.05,6.4103
IRBT,2024-08-06,2024-06-30,-1.77,-1.96,-0.19,-10.7345
IRDM,2024-07-23,2024-06-30,0.17,0.27,0.1,58.8235
IRM,2024-08-01,2024-06-30,0.44,0.42,-0.02,-4.5455
IRMD,2024-08-01,2024-06-30,0.37,0.42,0.05,13.5135
IRON,2024-08-08,2024-06-30,-1.11,-1.03,0.08,7.2072
IRT,2024-07-31,2024-06-30,0.07,0.05,-0.02,-28.5714
IRTC,2024-08-01,2024-06-30,-0.89,-0.61,0.28,31.4607
IRWD,2024-08-08,2024-06-30,0.15,-0.0054,-0.1554,-103.6
ISRG,2024-07-18,2024-06-30,1.54,1.78,0.24,15.5844
IT,2024-07-30,2024-06-30,3.02,3.22,0.2,6.6225
ITCI,2024-08-07,2024-06-30,-0.19,-0.16,0.03,15.7895
ITGR,2024-07-25,2024-06-30,1.25,1.3,0.05,4.0
ITOS,2024-08-08,2024-06-30,-1.04,-0.18,0.86,82.6923
ITRI,2024-08-01,2024-06-30,0.96,1.21,0.25,26.0417
ITT,2024-08-01,2024-06-30,1.46,1.49,0.03,2.0548
ITW,2024-07-30,2024-06-30,2.48,2.54,0.06,2.4194
IVR,2024-08-08,2024-06-30,0.99,0.86,-0.13,-13.1313
IVT,2024-07-31,2024-06-30,0.01,0.02,0.01,100.0
IVZ,2024-07-23,2024-06-30,0.4,0.43,0.03,7.5
J,2024-08-06,2024-06-30,1.96,1.96,0.0,0.0
JACK,2024-08-06,2024-06-30,1.51,1.65,0.14,9.2715
JAKK,2024-07-31,2024-06-30,0.12,0.65,0.53,441.6667
JAMF,2024-08-07,2024-06-30,0.14,0.14,0.0,0.0
JANX,2024-08-06,2024-06-30,-0.31,-0.11,0.2,64.5161
JAZZ,2024-07-31,2024-06-30,4.77,5.3,0.53,11.1111
JBGS,2024-07-30,2024-06-30,-0.41,-0.27,0.14,34.1463
JBHT,2024-07-16,2024-06-30,1.52,1.32,-0.2,-13.1579
JBI,2024-08-07,2024-06-30,0.27,0.21,-0.06,-22.2222
JBL,2024-06-20,2024-05-31,1.85,1.89,0.04,2.1622
JBLU,2024-07-30,2024-06-30,-0.11,0.08,0.19,172.7273
JBT,2024-07-30,2024-06-30,1.25,1.05,-0.2,-16.0
JCI,2024-07-31,2024-06-30,1.08,1.14,0.06,5.5556
JEF,2024-06-26,2024-05-31,0.63,0.64,0.01,1.5873
JELD,2024-08-05,2024-06-30,0.28,0.34,0.06,21.4286
JHG,2024-08-01,2024-06-30,0.73,0.85,0.12,16.4384
JJSF,2024-08-05,2024-06-30,1.99,1.98,-0.01,-0.5025
JKHY,2024-08-20,2024-06-30,1.32,1.38,0.06,4.5455
JLL,2024-08-06,2024-06-30,2.49,2.55,0.06,2.4096
JNJ,2024-07-17,2024-06-30,2.7,2.82,0.12,4.4444
JNPR,2024-07-25,2024-06-30,0.44,0.31,-0.13,-29.5455
JOBY,2024-08-07,2024-06-30,-0.18,-0.18,0.0,0.0
JOUT,2024-08-05,2024-06-30,0.22,0.16,-0.06,-27.2727
JPM,2024-07-12,2024-06-30,4.19,4.26,0.07,1.6706
JRVR,2024-08-05,2024-06-30,0.42,0.33,-0.09,-21.4286
JWN,2024-08-22,2024-07-31,0.72,0.96,0.24,33.3333
JXN,2024-08-07,2024-06-30,4.36,5.32,0.96,22.0183
K,2024-08-01,2024-06-30,0.9,1.01,0.11,12.2222
KAI,2024-07-30,2024-06-30,2.43,2.81,0.38,15.6379
KALU,2024-07-24,2024-06-30,0.91,0.65,-0.26,-28.5714
KALV,2024-09-05,2024-07-31,-0.91,-0.87,0.04,4.3956
KAR,2024-08-07,2024-06-30,0.21,0.19,-0.02,-9.5238
KBH,2024-06-18,2024-05-31,1.8,2.15,0.35,19.4444
KBR,2024-07-24,2024-06-30,0.79,0.83,0.04,5.0633
KD,2024-07-31,2024-06-30,0.03,0.05,0.02,66.6667
KDP,2024-07-25,2024-06-30,0.45,0.45,0.0,0.0
KE,2024-08-13,2024-06-30,0.44,0.33,-0.11,-25.0
KELYA,2024-08-08,2024-06-30,0.56,0.71,0.15,26.7857
KEX,2024-08-01,2024-06-30,1.32,1.43,0.11,8.3333
KEY,2024-07-18,2024-06-30,0.24,0.25,0.01,4.1667
KEYS,2024-08-20,2024-07-31,1.35,1.57,0.22,16.2963
KFRC,2024-07-29,2024-06-30,0.73,0.75,0.02,2.7397
KFY,2024-09-05,2024-07-31,1.12,1.18,0.06,5.3571
KGS,2024-08-13,2024-06-30,0.5509,0.2191,-0.3318,-60.2287
KHC,2024-07-31,2024-06-30,0.74,0.78,0.04,5.4054
KIDS,2024-08-05,2024-06-30,-0.27,-0.26,0.01,3.7037
KIM,2024-08-01,2024-06-30,0.16,0.17,0.01,6.25
KIND,2024-08-07,2024-06-30,-0.07,-0.11,-0.04,-57.1429
KKR,2024-07-31,2024-06-30,1.07,1.09,0.02,1.8692
KLAC,2024-07-24,2024-06-30,6.15,6.6,0.45,7.3171
KLG,2024-08-06,2024-06-30,0.41,0.44,0.03,7.3171
KLIC,2024-08-07,2024-06-30,0.3,0.35,0.05,16.6667
KMB,2024-07-23,2024-06-30,1.71,1.96,0.25,14.6199
KMI,2024-07-17,2024-06-30,0.26,0.25,-0.01,-3.8462
KMPR,2024-07-24,2024-06-30,1.23,1.42,0.19,15.4472
KMT,2024-08-07,2024-06-30,0.43,0.49,0.06,13.9535
KMX,2024-06-21,2024-05-31,0.96,0.97,0.01,1.0417
KN,2024-07-31,2024-06-30,0.24,0.24,0.0,0.0
KNF,2024-08-06,2024-06-30,1.24,1.37,0.13,10.4839
KNSA,2024-07-23,2024-06-30,-0.07,-0.06,0.01,14.2857
KNSL,2024-07-25,2024-06-30,3.53,3.75,0.22,6.2323
KNTK,2024-08-07,2024-06-30,0.42,0.54,0.12,28.5714
KNX,2024-07-24,2024-06-30,0.28,0.24,-0.04,-14.2857
KO,2024-07-23,2024-06-30,0.81,0.84,0.03,3.7037
KOD,2024-08-14,2024-06-30,-0.87,-0.86,0.01,1.1494
KOP,2024-08-08,2024-06-30,1.27,1.36,0.09,7.0866
KOS,2024-08-05,2024-06-30,0.12,0.17,0.05,41.6667
KR,2024-09-12,2024-07-31,0.91,0.93,0.02,2.1978
KRC,2024-07-31,2024-06-30,0.4,0.41,0.01,2.5
KREF,2024-07-22,2024-06-30,-1.67,-1.57,0.1,5.988
KRG,2024-07-30,2024-06-30,0.06,0.08,0.02,33.3333
KRNY,2024-07-25,2024-06-30,0.09,-1.45,-1.54,-1711.1111
KROS,2024-08-06,2024-06-30,-1.23,-1.25,-0.02,-1.626
KRRO,2024-08-08,2024-06-30,-2.39,-2.4287,-0.0387,-1.6192
KRUS,2024-07-09,2024-05-31,0.01,-0.05,-0.06,-600.0
KRYS,2024-08-05,2024-06-30,0.58,0.53,-0.05,-8.6207
KSS,2024-08-28,2024-07-31,0.45,0.59,0.14,31.1111
KTB,2024-08-01,2024-06-30,0.88,0.98,0.1,11.3636
KTOS,2024-08-07,2024-06-30,0.08,0.14,0.06,75.0
KURA,2024-08-08,2024-06-30,-0.63,-0.59,0.04,6.3492
KVUE,2024-08-06,2024-06-30,0.28,0.32,0.04,14.2857
KW,2024-08-07,2024-06-30,-0.55,-0.43,0.12,21.8182
KWR,2024-08-05,2024-06-30,2.22,2.13,-0.09,-4.0541
KYMR,2024-08-07,2024-06-30,-0.68,-0.58,0.1,14.7059
LAB,2024-07-31,2024-06-30,-0.08,-0.12,-0.04,-50.0
LAD,2024-08-01,2024-06-30,7.03,7.87,0.84,11.9488
